Long Lat Easting Northing Elev ObsGrav TheoreticalCorr AtmosphericCorr FreeAirCorr BougerCorr TerrCorr TCBougGrav TCBougAn
-111.579489 42.853640 452654.808006 4744724.782136 1852.408000 3189.704000 17.948413 0.863028 -34.335059 11.8941 0.577 3195.059615 -13.2604
-111.579488 42.853661 452654.885589 4744727.140329 1852.408000 3189.696000 17.950308 0.863028 -34.335059 11.8941 0.577 3195.049720 -13.2703
-111.579487 42.853682 452654.959685 4744729.502321 1852.408000 3189.686000 17.952203 0.863028 -34.335059 11.8941 0.577 3195.037825 -13.2822
-111.579487 42.853704 452655.030373 4744731.867890 1852.408000 3189.675000 17.954188 0.863028 -34.335059 11.8941 0.577 3195.024840 -13.2952
-111.579486 42.853725 452655.097573 4744734.237037 1852.408000 3189.663000 17.956083 0.863028 -34.335059 11.8941 0.577 3195.010945 -13.3091
-111.579485 42.853746 452655.161122 4744736.609874 1852.408000 3189.650000 17.957978 0.863028 -34.335059 11.8941 0.577 3194.996050 -13.3239
-111.579485 42.853768 452655.221018 4744738.986178 1852.408000 3189.636000 17.959963 0.863028 -34.335059 11.8941 0.577 3194.980065 -13.3399
-111.579484 42.853789 452655.277178 4744741.365840 1852.408000 3189.622000 17.961857 0.863028 -34.335059 11.8941 0.577 3194.964171 -13.3558
-111.579484 42.853811 452655.329604 4744743.748970 1852.408000 3189.607000 17.963842 0.863028 -34.335059 11.8941 0.577 3194.947186 -13.3728
-111.579484 42.853832 452655.378375 4744746.135346 1852.408000 3189.592000 17.965737 0.863028 -34.335059 11.8941 0.577 3194.930291 -13.3897
-111.579483 42.853854 452655.423410 4744748.524968 1852.408000 3189.577000 17.967722 0.863028 -34.335059 11.8941 0.577 3194.913306 -13.4067
-111.579483 42.853875 452655.464708 4744750.917614 1852.408000 3189.561000 17.969617 0.863028 -34.335059 11.8941 0.577 3194.895411 -13.4246
-111.579483 42.853897 452655.502350 4744753.313394 1852.408000 3189.546000 17.971602 0.863028 -34.335059 11.8941 0.577 3194.878426 -13.4416
-111.579482 42.853918 452655.536417 4744755.712087 1852.408000 3189.530000 17.973497 0.863028 -34.335059 11.8941 0.577 3194.860531 -13.4595
-111.579482 42.853940 452655.566991 4744758.113691 1852.408000 3189.513000 17.975482 0.863028 -34.335059 11.8941 0.577 3194.841546 -13.4785
-111.579482 42.853962 452655.594151 4744760.517872 1852.408000 3189.497000 17.977467 0.863028 -34.335059 11.8941 0.577 3194.823561 -13.4964
-111.579482 42.853983 452655.617981 4744762.924853 1852.408000 3189.481000 17.979362 0.863028 -34.335059 11.8941 0.577 3194.805666 -13.5143
-111.579482 42.854005 452655.638640 4744765.334188 1852.408000 3189.464000 17.981347 0.863028 -34.335059 11.8941 0.577 3194.786681 -13.5333
-111.579482 42.854027 452655.656375 4744767.746096 1852.408000 3189.447000 17.983332 0.863028 -34.335059 11.8941 0.577 3194.767696 -13.5523
-111.579482 42.854048 452655.671266 4744770.160246 1852.408000 3189.430000 17.985226 0.863028 -34.335059 11.8941 0.577 3194.748801 -13.5712
-111.579482 42.854070 452655.683557 4744772.576523 1852.408000 3189.413000 17.987211 0.863028 -34.335059 11.8941 0.577 3194.729816 -13.5902
-111.579482 42.854092 452655.693412 4744774.994928 1852.408000 3189.396000 17.989196 0.863028 -34.335059 11.8941 0.577 3194.710831 -13.6092
-111.579482 42.854114 452655.701074 4744777.415235 1852.408000 3189.378000 17.991181 0.863028 -34.335059 11.8941 0.577 3194.690846 -13.6292
